nom,genre,canton,groupe_parlementaire,vote,parti,multiplicateur,
Schilliger Peter,Homme,lu,RL,126,Parti libéral-radical,1.26,
Schläpfer Therese,Femme,zh,V,23,UDC,1,
Schlatter Marionna,Femme,zh,G,15,Les Vert-e-s,1,
Schneeberger Daniela,Femme,bl,RL,174,Parti libéral-radical,1,
Schneider Meret,Femme,zh,G,10,Les Vert-e-s,1,
Schneider Schüttel Ursula,Femme,fr,S,32,Parti socialiste,1,
Schneider-Schneiter Elisabeth,Femme,bl,M-E,154,Le Centre,1,
Schwander Pirmin,Homme,sz,V,143,UDC,1,
von Siebenthal Erich,Homme,be,V,108,UDC,1,
Seiler Graf Priska,Femme,zh,S,25,Parti socialiste,1,
Siegenthaler Heinz,Homme,be,M-E,142,Le Centre,1,
Silberschmidt Andri,Homme,zh,RL,101,Parti libéral-radical,1,
Sollberger Sandra,Femme,bl,V,26,UDC,1,
Stadler Simon,Homme,ur,M-E,95,Le Centre,1,
Steinemann Barbara,Femme,zh,V,42,UDC,1,
Storni Bruno,Homme,ti,S,47,Parti socialiste,1,
Streiff-Feller Marianne,Femme,be,M-E,679,Parti évangélique suisse,1,
Strupler Manuel,Homme,tg,V,57,UDC,1,
Studer Lilian,Femme,ag,M-E,619,Parti évangélique suisse,1,
Suter Gabriela,Femme,ag,S,47,Parti socialiste,1,
Töngi Michael,Homme,lu,G,21,Les Vert-e-s,1,
Trede Aline,Femme,be,G,53,Les Vert-e-s,1,
Tuena Mauro,Homme,zh,V,17,UDC,1,
Pieren Nadja,Femme,be,V,104,UDC,1,
Vincenz-Stauffacher Susanne,Femme,sg,RL,44,Parti libéral-radical,1,
Vogt Hans-Ueli,Homme,zh,V,106,UDC,1,
Walder Nicolas,Homme,ge,G,26,Les Vert-e-s,1,
Walliser Bruno,Homme,zh,V,61,UDC,1,
Walti Beat,Homme,zh,RL,118,Parti libéral-radical,1,
Wasserfallen Christian,Homme,be,RL,316,Parti libéral-radical,1,
Wasserfallen Flavia,Femme,be,S,42,Parti socialiste,1,
Weber Céline,Femme,vd,GL,20,Vert libéraux,6.06,
Wehrli Laurent,Homme,vd,RL,199,Parti libéral-radical,1,
